,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
2838,10720,1180 ARBOR CREEK DR,5/26/22,"$650,000.00 ",650000,233.5609055,2783,1996,"1180 ARBOR CREEK DR Fulton County, GA","1180%20ARBOR%20CREEK%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/1180%20ARBOR%20CREEK%20DR%20Fulton%20County,%20GA",34.0570294,-84.3333954
2839,10721,3058 GREENDALE DR NW,5/26/22,"$1,995,000.00 ",1995000,439.6209784,4538,2003,"3058 GREENDALE DR NW Fulton County, GA","3058%20GREENDALE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/3058%20GREENDALE%20DR%20NW%20Fulton%20County,%20GA",33.8387104,-84.4264326
2840,10722,1970 WOODLAND HILLS AVE,5/26/22,"$727,000.00 ",727000,311.7495712,2332,2005,"1970 WOODLAND HILLS AVE Fulton County, GA","1970%20WOODLAND%20HILLS%20AVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1970%20WOODLAND%20HILLS%20AVE%20Fulton%20County,%20GA",33.8090707,-84.4192251
2841,10723,799 HAMMOND DR NE 326,5/26/22,"$230,000.00 ",230000,245.9893048,935,2004,"799 HAMMOND DR NE 326 Fulton County, GA","799%20HAMMOND%20DR%20NE%20326%20Fulton%20County,%20GA","https://www.google.com/maps/search/799%20HAMMOND%20DR%20NE%20326%20Fulton%20County,%20GA",33.9174942,-84.359405
2842,10724,616 EAST PACES FERRY RD,5/26/22,"$840,000.00 ",840000,311.3417346,2698,1930,"616 EAST PACES FERRY RD Fulton County, GA","616%20EAST%20PACES%20FERRY%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/616%20EAST%20PACES%20FERRY%20RD%20Fulton%20County,%20GA",33.8404382,-84.3670403
2843,10725,3295 WATERS MILL DR,5/26/22,"$750,000.00 ",750000,241.1575563,3110,1988,"3295 WATERS MILL DR Fulton County, GA","3295%20WATERS%20MILL%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/3295%20WATERS%20MILL%20DR%20Fulton%20County,%20GA",34.0388516,-84.2648962
2844,10726,961 GRANT COVE PL,5/26/22,"$700,000.00 ",700000,393.922341,1777,2005,"961 GRANT COVE PL Fulton County, GA","961%20GRANT%20COVE%20PL%20Fulton%20County,%20GA","https://www.google.com/maps/search/961%20GRANT%20COVE%20PL%20Fulton%20County,%20GA",33.7279778,-84.3776355
2845,10727,CLAUDETTE COLVIN CT,5/26/22,"$616,518.00 ",616518,268.2845953,2298,2022,"CLAUDETTE COLVIN CT Fulton County, GA","CLAUDETTE%20COLVIN%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/CLAUDETTE%20COLVIN%20CT%20Fulton%20County,%20GA",33.7740705,-84.4215932
2846,10728,1015 MAYSON TURNER RD NW,5/26/22,"$532,000.00 ",532000,274.2268041,1940,2003,"1015 MAYSON TURNER RD NW Fulton County, GA","1015%20MAYSON%20TURNER%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1015%20MAYSON%20TURNER%20RD%20NW%20Fulton%20County,%20GA",33.7610324,-84.4193986
2847,10729,13300 MORRIS RD # 5,5/26/22,"$335,000.00 ",335000,244.5255474,1370,2000,"13300 MORRIS RD # 5 Fulton County, GA","13300%20MORRIS%20RD%20#%205%20Fulton%20County,%20GA","https://www.google.com/maps/search/13300%20MORRIS%20RD%20#%205%20Fulton%20County,%20GA",34.1036363,-84.2558448
2848,10730,12795 WYNGATE TRL,5/26/22,"$740,000.00 ",740000,272.4594993,2716,2002,"12795 WYNGATE TRL Fulton County, GA","12795%20WYNGATE%20TRL%20Fulton%20County,%20GA","https://www.google.com/maps/search/12795%20WYNGATE%20TRL%20Fulton%20County,%20GA",34.0892568,-84.2021005
2849,10731,745 OAKHAVEN DR,5/26/22,"$750,000.00 ",750000,269.7841727,2780,1993,"745 OAKHAVEN DR Fulton County, GA","745%20OAKHAVEN%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/745%20OAKHAVEN%20DR%20Fulton%20County,%20GA",34.0847187,-84.3959662
2850,10732,7075 BAYWOOD DR,5/26/22,"$539,000.00 ",539000,229.6548786,2347,1994,"7075 BAYWOOD DR Fulton County, GA","7075%20BAYWOOD%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/7075%20BAYWOOD%20DR%20Fulton%20County,%20GA",34.0730402,-84.358669
2851,10733,15775 ROWE RD,5/26/22,"$380,000.00 ",380000,286.7924528,1325,1987,"15775 ROWE RD Fulton County, GA","15775%20ROWE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/15775%20ROWE%20RD%20Fulton%20County,%20GA",34.1663423,-84.352418
2852,10734,235 THOMPSON SPRINGS DR,5/26/22,"$867,000.00 ",867000,259.4254937,3342,1994,"235 THOMPSON SPRINGS DR Fulton County, GA","235%20THOMPSON%20SPRINGS%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/235%20THOMPSON%20SPRINGS%20DR%20Fulton%20County,%20GA",34.1512792,-84.2805273
2853,10735,2824 WEBB BRIDGE RD,5/26/22,"$299,000.00 ",299000,237.3015873,1260,1983,"2824 WEBB BRIDGE RD Fulton County, GA","2824%20WEBB%20BRIDGE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/2824%20WEBB%20BRIDGE%20RD%20Fulton%20County,%20GA",34.0765564,-84.2765872
2854,10736,4406 SONORAN WAY,5/26/22,"$407,961.00 ",407961,128.2896226,3180,2004,"4406 SONORAN WAY Fulton County, GA","4406%20SONORAN%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/4406%20SONORAN%20WAY%20Fulton%20County,%20GA",33.5499681,-84.5313413
2855,10737,5631 SHERRELL DR,5/25/22,"$570,000.00 ",570000,304.4871795,1872,1958,"5631 SHERRELL DR Fulton County, GA","5631%20SHERRELL%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/5631%20SHERRELL%20DR%20Fulton%20County,%20GA",33.9083052,-84.3697097
2856,10738,5945 REDDINGTON WAY,5/25/22,"$725,000.00 ",725000,302.0833333,2400,2002,"5945 REDDINGTON WAY Fulton County, GA","5945%20REDDINGTON%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/5945%20REDDINGTON%20WAY%20Fulton%20County,%20GA",33.9184929,-84.3843764
2857,10739,40 W 12TH ST UNIT 805,5/25/22,"$1,458,026.00 ",1458026,716.4746929,2035,2021,"40 W 12TH ST UNIT 805 Fulton County, GA","40%20W%2012TH%20ST%20UNIT%20805%20Fulton%20County,%20GA","https://www.google.com/maps/search/40%20W%2012TH%20ST%20UNIT%20805%20Fulton%20County,%20GA",33.784818,-84.3864257
2858,10740,5575 GLEN ERROL RD,5/25/22,"$2,025,000.00 ",2025000,442.7197202,4574,1978,"5575 GLEN ERROL RD Fulton County, GA","5575%20GLEN%20ERROL%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/5575%20GLEN%20ERROL%20RD%20Fulton%20County,%20GA",33.9074995,-84.3963767
2859,10741,1040 WEST WESLEY RD NW,5/25/22,"$1,450,000.00 ",1450000,501.7301038,2890,1963,"1040 WEST WESLEY RD NW Fulton County, GA","1040%20WEST%20WESLEY%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1040%20WEST%20WESLEY%20RD%20NW%20Fulton%20County,%20GA",33.8281936,-84.4219647
