,Address,sale_date,sale_price,salePrice_numeric,price_SF,sq_ft,yr_built,unique_ID,full_address,Address_URL,url,lat,long
899,328 THE CHACE,5/3/23,"$459,000.00 ",459000,255.2836485,1798,1980,328THECHACE-2023-05-03-459000,"328 THE CHACE Fulton County, GA","328%20THE%20CHACE%20Fulton%20County,%20GA","https://www.google.com/maps/search/328%20THE%20CHACE%20Fulton%20County,%20GA",33.9250449,-84.3615368
900,2836 OVERLOOK CT NE,5/2/23,"$565,000.00 ",565000,254.5045045,2220,2007,2836OVERLOOKCTNE-2023-05-02-565000,"2836 OVERLOOK CT NE Fulton County, GA","2836%20OVERLOOK%20CT%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/2836%20OVERLOOK%20CT%20NE%20Fulton%20County,%20GA",33.8329603,-84.3589787
901,4358 PARKSIDE PL,5/2/23,"$589,000.00 ",589000,378.5347044,1556,2018,4358PARKSIDEPL-2023-05-02-589000,"4358 PARKSIDE PL Fulton County, GA","4358%20PARKSIDE%20PL%20Fulton%20County,%20GA","https://www.google.com/maps/search/4358%20PARKSIDE%20PL%20Fulton%20County,%20GA",33.8857143,-84.3786093
902,2214 PEACHTREE RD NW B 4,5/2/23,"$281,060.00 ",281060,244.1876629,1151,1938,2214PEACHTREERDNWB4-2023-05-02-281060,"2214 PEACHTREE RD NW B 4 Fulton County, GA","2214%20PEACHTREE%20RD%20NW%20B%204%20Fulton%20County,%20GA","https://www.google.com/maps/search/2214%20PEACHTREE%20RD%20NW%20B%204%20Fulton%20County,%20GA",33.8153213,-84.3920061
903,780 SPALDING DR,5/2/23,"$690,000.00 ",690000,228.9316523,3014,1967,780SPALDINGDR-2023-05-02-690000,"780 SPALDING DR Fulton County, GA","780%20SPALDING%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/780%20SPALDING%20DR%20Fulton%20County,%20GA",33.953221,-84.3614136
904,601 CONNALLY ST SE,5/2/23,"$535,000.00 ",535000,231.3013403,2313,2002,601CONNALLYSTSE-2023-05-02-535000,"601 CONNALLY ST SE Fulton County, GA","601%20CONNALLY%20ST%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/601%20CONNALLY%20ST%20SE%20Fulton%20County,%20GA",33.7381156,-84.3818221
905,2215 STEPHEN LONG DR NE,5/2/23,"$1,100,000.00 ",1100000,383.6763167,2867,1944,2215STEPHENLONGDRNE-2023-05-02-1100000,"2215 STEPHEN LONG DR NE Fulton County, GA","2215%20STEPHEN%20LONG%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/2215%20STEPHEN%20LONG%20DR%20NE%20Fulton%20County,%20GA",33.8153251,-84.3820623
906,10740 JONES BRIDGE RD,5/2/23,"$380,000.00 ",380000,259.0320382,1467,1985,10740JONESBRIDGERD-2023-05-02-380000,"10740 JONES BRIDGE RD Fulton County, GA","10740%20JONES%20BRIDGE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/10740%20JONES%20BRIDGE%20RD%20Fulton%20County,%20GA",34.0424415,-84.2275708
907,1080 PEACHTREE ST NE UNIT 1607,5/2/23,"$441,000.00 ",441000,505.733945,872,2008,1080PEACHTREESTNEUNIT1607-2023-05-02-441000,"1080 PEACHTREE ST NE UNIT 1607 Fulton County, GA","1080%20PEACHTREE%20ST%20NE%20UNIT%201607%20Fulton%20County,%20GA","https://www.google.com/maps/search/1080%20PEACHTREE%20ST%20NE%20UNIT%201607%20Fulton%20County,%20GA",33.783839,-84.3838658
908,485 BRIGHTMORE DOWNS,5/2/23,"$810,000.00 ",810000,232.1582115,3489,1994,485BRIGHTMOREDOWNS-2023-05-02-810000,"485 BRIGHTMORE DOWNS Fulton County, GA","485%20BRIGHTMORE%20DOWNS%20Fulton%20County,%20GA","https://www.google.com/maps/search/485%20BRIGHTMORE%20DOWNS%20Fulton%20County,%20GA",34.0815129,-84.1885538
909,4830 MINDEN CHASE,5/2/23,"$430,000.00 ",430000,232.936078,1846,1988,4830MINDENCHASE-2023-05-02-430000,"4830 MINDEN CHASE Fulton County, GA","4830%20MINDEN%20CHASE%20Fulton%20County,%20GA","https://www.google.com/maps/search/4830%20MINDEN%20CHASE%20Fulton%20County,%20GA",34.0566644,-84.2187814
910,110 SAPELO WAY,5/2/23,"$659,900.00 ",659900,205.9612984,3204,1985,110SAPELOWAY-2023-05-02-659900,"110 SAPELO WAY Fulton County, GA","110%20SAPELO%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/110%20SAPELO%20WAY%20Fulton%20County,%20GA",34.0337457,-84.2072522
911,15 BRANDON RIDGE DR NW,5/2/23,"$726,000.00 ",726000,343.4247871,2114,1964,15BRANDONRIDGEDRNW-2023-05-02-726000,"15 BRANDON RIDGE DR NW Fulton County, GA","15%20BRANDON%20RIDGE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/15%20BRANDON%20RIDGE%20DR%20NW%20Fulton%20County,%20GA",33.936863,-84.3873659
912,1421 PEACHTREE ST NE # 311,5/2/23,"$250,000.00 ",250000,250.2502503,999,1960,1421PEACHTREESTNE#311-2023-05-02-250000,"1421 PEACHTREE ST NE # 311 Fulton County, GA","1421%20PEACHTREE%20ST%20NE%20#%20311%20Fulton%20County,%20GA","https://www.google.com/maps/search/1421%20PEACHTREE%20ST%20NE%20#%20311%20Fulton%20County,%20GA",33.7936652,-84.386506
913,1005 WOODLAND AVE SE,5/2/23,"$585,000.00 ",585000,435.2678571,1344,1925,1005WOODLANDAVESE-2023-05-02-585000,"1005 WOODLAND AVE SE Fulton County, GA","1005%20WOODLAND%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1005%20WOODLAND%20AVE%20SE%20Fulton%20County,%20GA",33.7270809,-84.3525354
